dishname,price,shopid
正新鸭肠（30串）,12,606
正烤烤面筋（3串）,12,606
武汉热干面,8,104
毛血旺+米饭,15.4,305
毛豆鸡丁,3.5,501
水煮牛肉+米饭,19.8,305
水煮肉片,15,202
水煮肉片,20,402
水煮肉片+米饭,17.6,305
水煮肉片拌面,12,104
水煮肉片面（刀削面）,12,103
水煮肥牛,15,202
水煮蛋,1.5,101
水煮鱼片,15,202
水煮鱼片+米饭,17.6,305
水蒸蛋,2.2,102
永和豆浆,2.5,201
汉堡,5,201
沙朗牛排,49,401
油条,2.5,201
泡椒鸡杂面/米线,14.3,302
泡椒鸡杂面/粉,12,203
泡菜五花肉炒饭/面/粉,15,207
泡菜烧肉饭,19.8,307
泡菜牛丼饭,19.8,307
海带排骨汤,6.6,301
海苔照烧鸡,16.5,310
海苔照烧鸡,15,608
海鲜乌冬面,16.5,302
淀粉肠,3.9,407
混合炸酱面,10,403
清水炖蛋,3.3,301
湖南小炒肉,15,608
火山石烤肠咖喱饭,15,401
火爆鱿鱼（20串）,12,606
火腿乌冬面,13.2,302
火腿小锅泡面,12,605
火腿肠炒饭（面/粉）,9,109
火腿酸汤面/米线,13.2,302
火锅肥牛面/粉,13,203
炒南瓜,2,501
炒土豆丝,2.2,102
炒油菜,2.2,102
炒绿豆芽,2.2,102
炸薯条,6,401
炸蛋螺蛳粉,15,605
炸酱牛肉炒饭（面/粉）,14,109
炸酱面,10,104
炸酱面,14,204
烟笋炒腊肉,18.7,303
烤肠铁板意面/米饭,14,603
烤肠面,13,204
烤香鸡,17.6,309
烤鸡腿,11,404
烤鸡腿,5,501
烤鸡腿+椒麻鸡腿,20,404
烤鸡腿饭,15,404
烤鸭,17.6,309
烧汁千页豆腐,12,209
烧汁培根,13,209
烧汁培根鱼豆腐,13,209
烧汁娃娃菜,12,209
烧汁小鱼丸,12,209
烧汁巴沙鱼,15,209
烧汁年糕,12,209
烧汁杏鲍菇,12,209
烧汁油面筋,12,209
烧汁火腿,12,209
烧汁狮子头,12,209
烧汁肥牛,15,209
烧汁肥牛五花肉,15,209
烧汁肥牛巴沙鱼,16,209
烧汁虾,16,209
烧汁虾滑,18,209
烧汁酥肉,15,209
烧汁酥肉巴沙鱼,15,209
烧汁酥肉火腿,13,209
烧汁酥肉肥牛,15,209
烧汁鱼丸狮子头,12,209
烧汁鱼豆腐,13,209
烧汁鸡肉,15,209
烧汁鸡肉肥牛,15,209
烧麦,1,201
热牛奶,8,602
热辣香骨鸡*2,7,407
焖锅鸡茶泡饭,17,607
煎蛋,2.2,302
煎饼,8,206
照烧鸡肉芝士焗饭,19,401
照烧鸡腿饭,19.8,307
爆款酸辣猪肚鸡,17.6,308
爆汁盐酥鸡,10,602
爆浆芝士鸡排,16,606
爆浆鸡排,10,602
牛排铁板意面/米饭,23,603
牛杂火锅米线,18,605
牛柳铁板意面/米饭,18,603
牛肉丸火锅米线,15,605
牛肉乌冬面,19.8,302
牛肉培根芝士堡,17,407
牛肉拌面,10,103
牛肉拼茄子,14,608
牛肉拼鸡扒,16,608
牛肉水饺,23,205
牛肉烧饼,7,106
牛肉粉丝汤（大份）,14,106
牛肉粉丝汤（小份）,12,106
牛肉肠卷,2.5,502
牛肉花肠,4.5,501
牛肉面（刀削面）,9,103
牛肉馅饼,3,502
特色炸酱面/米线,14.3,302
特色牛肉面/粉,15,203
特色脆皮五花肉饭,16,404
猪扒铁板意面/米饭,17,603
猪脚饭,17.6,309
玉米大馄炖,12,205
玉米排骨汤,6.6,301
玉米棒,3,502
玉米火腿,4.95,301
玉米火腿肠粉,10,605
玉米肉水饺,13,205
玉米虾仁水饺,23,205
玉米鲜肉大馄饨,10,105
玉米鲜肉水饺,10,105
玉米鸡肉水饺,11,205
现炸酥肉,15,606
生煎,1.5,101
畅饮可乐/美年达,5,407
番茄小龙虾饭/西,18,404
番茄排骨汤粉,15,605
番茄炒蛋,4.95,301
番茄炒蛋,3,501
番茄烤肉饭,15.68,306
番茄猪肚鸡,17.6,308
番茄肉片面,12,104
番茄脆皮鸡,16.5,308
番茄酸汤鱼,15,402
番茄鸡蛋汤,6,202
番茄鸡蛋米线,10,105
番茄鸡蛋米线,12,605
番茄鸡蛋面,8,104
番茄鸡蛋面,11,203
番茄鸡蛋面/米线,9.9,302
番茄鸡蛋面/粉,12,204
疯狂烤翅（2串）,15,606
白煮鸡蛋,1.2,502
白粥,0.5,201
白粥,0.5,502
白菜肉水饺,13,205
白菜肉糜炒粉条,3.5,501
白鸡蛋,1.2,201
皮蛋豆腐,4.4,102
盐酥鸡牛丼双拼饭,22,307
相干肉丝,4.95,301
私房牛肉面,17,403
私房牛肉面/粉,15,204
秘制手撕鸡饭,17,208
秘制手撕鸭饭,17,208
秘制烤肉炒米皮,14,107
秘制肉酱热米皮,15,107
秘制鱿鱼面/粉,14,204
笋尖鸡丝麻酱面,16.5,302
米饭,1,102
米饭,1,202
米饭,1,601
米饭（一份）,1,610
米饭（半份）,0.5,610
粉红汉堡,11.9,407
精选香肠披萨,25,401
糖糕,2.5,201
糖醋小酥肉,15,202
糖醋年糕排骨,17.6,303
糖醋排骨,7,601
糖醋鸡柳,15.4,303
素三鲜拌饭,11,405
素三鲜水饺,11,205
素炒卷心菜,1,501
素炒胡萝卜丝,2,501
素菜双拼饭,11,404
素菜类,1.5,210
素菜（元/50克）,1.5,111
素菜（元/50克）,1.5,112
素食番茄汁意面,14,401
素鸡卤蛋面/粉,7,204
素鸡面,10,104
紫薯三角糕,2.5,201
紫薯卷,2,101
紫薯卷,2,201
红枣豆浆,3,502
红油鸡丝拌面,10,203
红烧大排面,15,104
红烧大排面（刀削面）,15,103
红烧大肉面,15,104
红烧大肉面（刀削面）,15,103
红烧排骨面/粉,15,203
红烧牛肉米线,15,105
红烧牛肉面,15,104
红烧牛肉面/米线,16.5,302
红烧牛肉面/粉,15,204
红烧牛肉面（刀削面）,15,103
红烧肉,17.6,309
红烧肥肠面/米线,19.8,302
